MARCA,SUB-CATEGORIA,CANAL ,SKU,CÓDIGO DE BARRAS,PRODUCTO,Ciudades,Unidades distribuidas , Tamaño ,2021 ENERO,2021 FEBRERO,2021 MARZO,2021 ABRIL,2021 MAYO,2021 JUNIO,2022 ENERO,2022 FEBRERO,2022 MARZO,2022 ABRIL,2022 MAYO,2022 JUNIO, Total 2021 , Total 2022 , Total general 
INFANTI,VASOS ENTRENADORES,Autoservicios,8201,7.50103E+12,VASO TODDLER NINO,Guadalajara,"24,718",0,1,1,2,6,7,8,-6,2,2,11,10,2,26,22,48
INFANTI,VASOS ENTRENADORES,Autoservicios,8207,7.50103E+12,VASO TODDLER NINA,Guadalajara,"24,719",0,7,6,13,10,11,31,2,2,11,10,14,7,78,47,125
INFANTI,VASOS ENTRENADORES,Autoservicios,5442,7.50103E+12,VASO BD AVENTURAS,Monterrey,"24,720",0,3,0,0,2,7,0,4,0,6,1,2,0,12,13,25
INFANTI,VASOS ENTRENADORES,Autoservicios,5462,7.50103E+12,TAZA BASICA BS 10OZ,Ciudad de Mexico,"24,721",10OZ,20,12,66,34,154,19,34,43,30,26,90,12,305,235,540
INFANTI,VASOS ENTRENADORES,Autoservicios,5473,7.50103E+12,VASO SEA BOQ SUAVE,Ciudad de Mexico,"24,722",0,6,0,0,14,0,19,13,29,0,17,22,0,40,80,120
INFANTI,VASOS ENTRENADORES,Autoservicios,8169,7.50103E+12,VASO SPORT 10 OZ,Ciudad de Mexico,"24,723",0 OZ,13,0,22,8,18,35,10,6,16,6,6,0,96,45,141
INFANTI,VASOS ENTRENADORES,Autoservicios,8171,7.50103E+12,TAZA CALMAT BS 8 OZ,Monterrey,"24,724",8 OZ,0,44,37,35,29,0,48,38,96,35,0,0,145,217,362
INFANTI,VASOS ENTRENADORES,Autoservicios,5430,7.50103E+12,VASO TUMBL BD FANTA,Monterrey,"24,725",0,13,2,0,18,11,14,10,2,0,18,5,0,59,35,94
INFANTI,VASOS ENTRENADORES,Autoservicios,5495,7.50103E+12,VASO BOQ SUAVE PETS,Monterrey,"24,726",0,0,0,0,0,0,0,0,70,0,5,11,0, -   ,85,85
INFANTI,VASOS ENTRENADORES,Autoservicios,5494,7.50103E+12,VASO POPOTE DIVERTI,Guadalajara,"24,727",0,16,0,0,0,0,0,12,1,0,0,0,0,16,13,29
